model,K,quarter,train_start,train_end,eval_start,eval_end,universe_size,assets_dropped,coverage_threshold,train_length_days,TE_annual_insample,TE_annual_oos,information_ratio_oos,sharpe_ratio_oos,max_drawdown_te_oos,portfolio_return_oos,benchmark_return_oos,tracking_difference,asset_active_share,sector_active_share,n_eff_absolute,diversification_norm,turnover,composition_stability,avg_weight_stability,retained_fraction,assets_added,assets_removed,execution_time,solver_gap,solver_optimal
Stratified,75,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.015526058947773999,0.017624979085739716,,-0.9080399980154404,-0.005195313482573143,-0.025549495213562312,-0.03647555543559822,0.010926060222035905,0.47935919231145274,0.15494012399278564,41.78348589514504,0.5571131452686006,0.13589529678042508,1.0,0.9320523516097875,1.0,0,0,0.180952787399292,,
Stratified_sector,75,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.01844496890692948,0.017868462171608073,,-0.9844101995940694,-0.009045379591335148,-0.028136889451230718,-0.03647555543559822,0.0083386659843675,0.4874475394757129,0.047794790106179263,38.38319555727498,0.5117759407636664,0.14087533937350047,1.0,0.9295623303132498,1.0,0,0,0.2362992763519287,,
MarketCap,75,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.014956883744302379,0.016958141142772245,,-1.0224923834292823,-0.0043496603406206515,-0.02786772216909328,-0.03647555543559822,0.008607833266504938,0.4810468540282349,0.10968861258534979,42.31662399572444,0.5642216532763259,0.14957267854275655,1.0,0.9252136607286218,1.0,0,0,0.1314983367919922,,
MarketCap_sector,75,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.016707243390531788,0.01864298150013708,,-1.097878631439098,-0.008407015494493734,-0.03008506581290904,-0.03647555543559822,0.006390489622689177,0.4943568747832125,0.04492726067193642,41.48582412550964,0.5531443216734618,0.12584432186406597,1.0,0.937077839067967,1.0,0,0,0.1940288543701172,,
Contribution,75,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.03522186621272503,0.035861637154910884,,-0.9001393554332483,-0.015886465084699496,-0.024709410888252292,-0.03647555543559822,0.011766144547345925,0.765562322674617,0.40420396233019035,12.726929360929505,0.16969239147906007,0.44895778081437154,0.8933333333333333,0.7755211095928143,0.8933333333333333,8,8,0.13178110122680664,,
Contribution_sector,75,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.056996179491730414,0.047587515528175646,,-0.8017611755661519,-0.015099208803724973,-0.024576089186105987,-0.03647555543559822,0.01189946624949223,0.7451632494584514,0.11424943028042471,13.689039745370124,0.1825205299382683,0.6125320525894513,0.8933333333333333,0.6937339737052743,0.8933333333333333,8,8,0.1871039867401123,,
LASSO,75,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.009147587061915602,0.0179257654863312,,-1.591549898408317,-0.012627349025835954,-0.04152108759798301,-0.03647555543559822,-0.0050455321623847915,0.6089714617438147,0.15908934338387484,43.1693223791754,0.575590965055672,0.8761163922436581,0.56,0.5619418038781709,0.56,33,33,1.544464111328125,,
LASSO_sector,75,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.012829398706863383,0.020288823512311573,,-1.4709142877249035,-0.008122088289894015,-0.03879082027038594,-0.03647555543559822,-0.0023152648347877225,0.6090572666248595,0.05234297566263372,39.11236646245302,0.5214982194993736,0.7899620526269429,0.56,0.6050189736865286,0.56,33,33,1.5412778854370117,,
MIQP_Gurobi,75,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.012327248782379719,0.015913173959051043,,-0.7119239726301604,-0.003091201530184719,-0.02002521371210897,-0.03647555543559822,0.016450341723489248,0.541992669069582,0.14260578573005356,48.331952136481135,0.6444260284864152,0.6107267676505547,0.84,0.6946366161747226,0.84,12,12,1.3197605609893799,0.00327432297925335,True
Layered,75,2023-Q3,2021-06-30,2023-06-30,2023-07-01,2023-09-30,459,0,0.9,504,0.011904753886387575,0.01622615823029879,,-0.871796463313622,-0.005185957137234369,-0.023614885346764147,-0.03647555543559822,0.01286067008883407,0.5566348875032495,0.04545841065347782,47.572769804929294,0.6343035973990573,1.0326422860329507,0.4266666666666667,0.48367885698352464,0.4266666666666667,43,43,3.7153985500335693,0.0022097082243716726,True
