model,K,train_length_days,eval_length_days,TE_annual,TE_annual_oos,portfolio_return_oos,benchmark_return_oos,tracking_difference_oos,asset_active_share,sector_active_share,diversification,bench_diversification,execution_time
Contribution,150,756,63,0.02793010186213254,0.04155464363381731,-0.056394131852587126,-0.04069498614565792,-0.015699145706929207,0.6316937526271669,0.27602453312615305,0.15951610586832266,0.09034232650304058,0.801471471786499
Contribution_sector,150,756,63,0.03399702959548037,0.04612788168830206,-0.060728762159269145,-0.04069498614565792,-0.020033776013611226,0.6349259357217522,0.11475991262385749,0.16675325184000828,0.09034232650304058,1.1027934551239014
LASSO,150,756,63,0.012240705777224064,0.021271712483588428,-0.025983132751453475,-0.04069498614565792,0.014711853394204444,0.450935520240539,0.10115311290956626,0.3248586418503859,0.09034232650304058,5.811821460723877
LASSO_sector,150,756,63,0.013737569309813524,0.023091767193634767,-0.02158154798769174,-0.04069498614565792,0.01911343815796618,0.4447238150680585,0.039504264717406846,0.324814220303082,0.09034232650304058,6.1619346141815186
MIQP_Gurobi,150,756,63,0.013796566874795841,0.02357427681205808,-0.022873589894485846,-0.04069498614565792,0.017821396251172072,0.44394975926711366,0.1059797949959069,0.3179540973344056,0.09034232650304058,1.6452534198760986
Layered,150,756,63,0.014865670226070863,0.02489444967964994,-0.0157061985219753,-0.04069498614565792,0.024988787623682618,0.45223390919573253,0.04915107899001475,0.31853336785659975,0.09034232650304058,2.3637712001800537
Stratified,175,756,63,0.013736590295159083,0.01952093978617634,-0.015465981421593056,-0.04069498614565792,0.025229004724064863,0.4016785416600893,0.10316876905174094,0.275242341209694,0.09034232650304058,0.8861081600189209
Stratified_sector,175,756,63,0.015171536185848905,0.022827471972534593,-0.009461683543367183,-0.04069498614565792,0.031233302602290736,0.3946867050923578,0.040938846723019603,0.277130032520464,0.09034232650304058,1.4051275253295898
MarketCap,175,756,63,0.013538551545352053,0.018644162000766004,-0.014506766281658812,-0.04069498614565792,0.026188219863999107,0.4056626274754821,0.10373560307556941,0.27740563121456757,0.09034232650304058,0.99432373046875
MarketCap_sector,175,756,63,0.014965898726924725,0.0221683530744774,-0.009485152373497452,-0.04069498614565792,0.031209833772160467,0.39951720978140737,0.03910987414901393,0.27851779623687295,0.09034232650304058,1.3460791110992432
Contribution,175,756,63,0.026673559149526918,0.03657061863375772,-0.046281146862450995,-0.04069498614565792,-0.005586160716793076,0.6197368431314264,0.2771236033485901,0.1528894681421784,0.09034232650304058,0.8562593460083008
Contribution_sector,175,756,63,0.03349823606637661,0.04508335649798993,-0.0617193966143027,-0.04069498614565792,-0.021024410468644783,0.6322754140274465,0.09342960333875344,0.1492423860285111,0.09034232650304058,1.3736119270324707
LASSO,175,756,63,0.012327181542402138,0.021988302907561548,-0.02660006668234216,-0.04069498614565792,0.014094919463315758,0.4553785948329284,0.10481485918423106,0.27512776151527063,0.09034232650304058,6.14313268661499
LASSO_sector,175,756,63,0.01381398929278871,0.023762226929280383,-0.02242571910054114,-0.04069498614565792,0.018269267045116777,0.4543578217068618,0.03949414251323477,0.27591674436220337,0.09034232650304058,6.563121557235718
